# Logfile created on 2011-09-01 04:11:53 +0100 by logger.rb/31641
I, [2011-09-01T04:11:53.357047 #70036]  INFO -- : NICK lolfo
I, [2011-09-01T04:12:05.861686 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- page (http://freenode.net/policy.shtml). Thank you for using
I, [2011-09-01T04:12:05.861761 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- the network!
I, [2011-09-01T04:12:05.861829 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:12:05.861897 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- Don't forget to check out these other Peer-Directed Projects:
I, [2011-09-01T04:12:05.861972 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- FOSSCON [http://www.fosscon.org] and fossevents 
I, [2011-09-01T04:12:05.862042 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- [http://www.fossevents.org], and soon we'll repeat last years 
I, [2011-09-01T04:12:05.862116 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- success with Picnics for Geeks across the globe, more info at 
I, [2011-09-01T04:12:05.862186 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- [http://geeknic.org]
I, [2011-09-01T04:12:05.862254 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:12:05.862328 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- freenode is a service of Peer-Directed Projects Center Ltd,
I, [2011-09-01T04:12:05.862407 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- a not for profit organisation registered in England and Wales.
I, [2011-09-01T04:12:05.862482 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:12:05.862549 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- If you support the work we do and wish to donate to the PDPC, 
I, [2011-09-01T04:12:05.862619 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- you may do so over at http://freenode.net/pdpc_donations.shtml
I, [2011-09-01T04:12:05.862693 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:12:05.862761 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- Thank you for using freenode!
I, [2011-09-01T04:12:05.862829 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:12:05.862902 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- ***************************************************************
I, [2011-09-01T04:12:05.862972 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- Please read http://blog.freenode.net/2010/11/be-safe-out-there/
I, [2011-09-01T04:12:05.863041 #70036]  INFO -- : :asimov.freenode.net 372 lolfo :- ***************************************************************
I, [2011-09-01T04:12:05.863115 #70036]  INFO -- : :asimov.freenode.net 376 lolfo :End of /MOTD command.
I, [2011-09-01T04:12:05.863189 #70036]  INFO -- : JOIN #cramp
I, [2011-09-01T04:12:05.863252 #70036]  INFO -- : :lolfo MODE lolfo :+i
I, [2011-09-01T04:12:10.225599 #70036]  INFO -- : :lolfo!~lolfo@host86-160-160-200.range86-160.btcentralplus.com JOIN :#cramp
I, [2011-09-01T04:12:10.355564 #70036]  INFO -- : :asimov.freenode.net 353 lolfo = #cramp :lolfo nooby lifo
I, [2011-09-01T04:12:10.355780 #70036]  INFO -- : :asimov.freenode.net 366 lolfo #cramp :End of /NAMES list.
I, [2011-09-01T04:12:26.395662 #70036]  INFO -- : Connection lost, sleeping 5 seconds
I, [2011-09-01T04:12:31.395861 #70036]  INFO -- : Reconnection to: irc.freenode.net Port: 6667
I, [2011-09-01T04:12:49.111840 #70040]  INFO -- : NICK lolfo
I, [2011-09-01T04:12:49.112069 #70040]  INFO -- : USER lolfo 8 * :lolfo
I, [2011-09-01T04:12:49.246164 #70040]  INFO -- : :asimov.freenode.net NOTICE * :*** Looking up your hostname...
I, [2011-09-01T04:12:49.381824 #70040]  INFO -- : :asimov.freenode.net NOTICE * :*** Checking Ident
I, [2011-09-01T04:12:49.382063 #70040]  INFO -- : :asimov.freenode.net NOTICE * :*** Found your hostname
I, [2011-09-01T04:13:00.904968 #70040]  INFO -- : :asimov.freenode.net NOTICE * :*** No Ident response
I, [2011-09-01T04:13:00.906154 #70040]  INFO -- : :asimov.freenode.net 001 lolfo :Welcome to the freenode Internet Relay Chat Network lolfo
I, [2011-09-01T04:13:00.906595 #70040]  INFO -- : :asimov.freenode.net 002 lolfo :Your host is asimov.freenode.net[174.143.119.91/6667], running version ircd-seven-1.0.3
I, [2011-09-01T04:13:00.906718 #70040]  INFO -- : :asimov.freenode.net 003 lolfo :This server was created Fri Mar 4 2011 at 17:35:00 UTC
I, [2011-09-01T04:13:00.906845 #70040]  INFO -- : :asimov.freenode.net 004 lolfo asimov.freenode.net ircd-seven-1.0.3 DOQRSZaghilopswz CFILMPQbcefgijklmnopqrstvz bkloveqjfI
I, [2011-09-01T04:13:00.906938 #70040]  INFO -- : :asimov.freenode.net 005 lolfo CHANTYPES=# EXCEPTS INVEX CHANMODES=eIbq,k,flj,CFLMPQcgimnprstz CHANLIMIT=#:120 PREFIX=(ov)@+ MAXLIST=bqeI:100 MODES=4 NETWORK=freenode KNOCK STATUSMSG=@+ CALLERID=g :are supported by this server
I, [2011-09-01T04:13:00.907073 #70040]  INFO -- : :asimov.freenode.net 005 lolfo SAFELIST ELIST=U CASEMAPPING=rfc1459 CHARSET=ascii NICKLEN=16 CHANNELLEN=50 TOPICLEN=390 ETRACE CPRIVMSG CNOTICE DEAF=D MONITOR=100 :are supported by this server
I, [2011-09-01T04:13:00.907203 #70040]  INFO -- : :asimov.freenode.net 005 lolfo FNC TARGMAX=NAMES:1,LIST:1,KICK:1,WHOIS:1,PRIVMSG:4,NOTICE:4,ACCEPT:,MONITOR: EXTBAN=$,arx WHOX CLIENTVER=3.0 :are supported by this server
I, [2011-09-01T04:13:00.907313 #70040]  INFO -- : :asimov.freenode.net 251 lolfo :There are 281 users and 61808 invisible on 28 servers
I, [2011-09-01T04:13:00.907408 #70040]  INFO -- : :asimov.freenode.net 252 lolfo 34 :IRC Operators online
I, [2011-09-01T04:13:00.907508 #70040]  INFO -- : :asimov.freenode.net 253 lolfo 8 :unknown connection(s)
I, [2011-09-01T04:13:00.907602 #70040]  INFO -- : :asimov.freenode.net 254 lolfo 43750 :channels formed
I, [2011-09-01T04:13:00.907695 #70040]  INFO -- : :asimov.freenode.net 255 lolfo :I have 6617 clients and 1 servers
I, [2011-09-01T04:13:00.907794 #70040]  INFO -- : :asimov.freenode.net 265 lolfo 6617 8143 :Current local users 6617, max 8143
I, [2011-09-01T04:13:00.907896 #70040]  INFO -- : :asimov.freenode.net 266 lolfo 62089 72826 :Current global users 62089, max 72826
I, [2011-09-01T04:13:00.907992 #70040]  INFO -- : :asimov.freenode.net 250 lolfo :Highest connection count: 8144 (8143 clients) (245909 connections received)
I, [2011-09-01T04:13:00.908094 #70040]  INFO -- : :asimov.freenode.net 375 lolfo :- asimov.freenode.net Message of the Day - 
I, [2011-09-01T04:13:00.908188 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- Welcome to asimov.freenode.net in TX, USA!  Thanks to
I, [2011-09-01T04:13:00.908288 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- Rackspace (www.rackspace.com) for sponsoring
I, [2011-09-01T04:13:00.908382 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- this server!
I, [2011-09-01T04:13:00.908473 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:13:00.908569 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- ASIMOV, ISAAC [1920-1992].  One of the brightest stars of the
I, [2011-09-01T04:13:00.908661 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- science fiction universe.  Author of I Robot, the
I, [2011-09-01T04:13:00.908753 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- Foundation series (which "grew like Topsy"), Pebble in the
I, [2011-09-01T04:13:00.908853 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- Sky and hundreds of works of science fact and science
I, [2011-09-01T04:13:00.908947 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- fiction.
I, [2011-09-01T04:13:00.909038 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:13:00.909136 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- You're using freenode, a service of Peer-Directed Projects
I, [2011-09-01T04:13:00.909230 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- Center Ltd (http://freenode.net/pdpc.shtml).
I, [2011-09-01T04:13:00.909322 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:13:00.909420 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- PDPC's 2011 fundraiser launched on 14th February 2011. We would 
I, [2011-09-01T04:13:00.909541 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- like to invite all users of freenode to get involved in the fun
I, [2011-09-01T04:13:00.909641 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- of our Valentine-themed fundraiser launch - see 
I, [2011-09-01T04:13:01.041675 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- http://freenode.net/pdpc_valentine.shtml for more!
I, [2011-09-01T04:13:01.041867 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:13:01.041980 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- On the subject of fundraisers, we'd like to thank our donors, 
I, [2011-09-01T04:13:01.042076 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- hardware and bandwith sponsors and especially  The Gallery 
I, [2011-09-01T04:13:01.042171 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- Project (http://gallery.menalto.com/) and our corporate sponsor 
I, [2011-09-01T04:13:01.042273 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- Canonical Ltd (http://www.canonical.com) for the generous 
I, [2011-09-01T04:13:01.042365 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- support.
I, [2011-09-01T04:13:01.042457 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:13:01.042554 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- By connecting to freenode you indicate that you have read
I, [2011-09-01T04:13:01.042647 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- and agree to adhere to our policies and procedures as per
I, [2011-09-01T04:13:01.042740 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- the website (http://freenode.net). We would like to remind
I, [2011-09-01T04:13:01.042840 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- you that unauthorized public logging of channels on the
I, [2011-09-01T04:13:01.042932 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- network is prohibited. Public channel logging should only
I, [2011-09-01T04:13:01.043031 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- take place where the channel owner(s) has requested this
I, [2011-09-01T04:13:01.043208 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- and users of the channel are all made aware (if you are
I, [2011-09-01T04:13:01.043309 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- publically logging your channel, you may wish to keep a
I, [2011-09-01T04:13:01.043411 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- notice in topic and perhaps as a on-join message).
I, [2011-09-01T04:13:01.044146 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:13:01.045347 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- By registering your nickname with Nickserv you agree that you
I, [2011-09-01T04:13:01.045485 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- are 13 years of age, or older. For more information about the
I, [2011-09-01T04:13:01.045736 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- Children's Online Privacy Protection Act please see their
I, [2011-09-01T04:13:01.045972 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- website at (http://www.coppa.org).
I, [2011-09-01T04:13:01.046195 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:13:01.046417 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- freenode runs an open proxy scanner. Your use of the network
I, [2011-09-01T04:13:01.046815 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- indicates your acceptance of this policy. For details on
I, [2011-09-01T04:13:01.047011 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- freenode network policy, please take a look at our policy
I, [2011-09-01T04:13:01.047363 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- page (http://freenode.net/policy.shtml). Thank you for using
I, [2011-09-01T04:13:01.047798 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- the network!
I, [2011-09-01T04:13:01.048015 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:13:01.048219 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- Don't forget to check out these other Peer-Directed Projects:
I, [2011-09-01T04:13:01.048463 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- FOSSCON [http://www.fosscon.org] and fossevents 
I, [2011-09-01T04:13:01.048661 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- [http://www.fossevents.org], and soon we'll repeat last years 
I, [2011-09-01T04:13:01.048862 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- success with Picnics for Geeks across the globe, more info at 
I, [2011-09-01T04:13:01.049058 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- [http://geeknic.org]
I, [2011-09-01T04:13:01.049254 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:13:01.049653 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- freenode is a service of Peer-Directed Projects Center Ltd,
I, [2011-09-01T04:13:01.049737 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- a not for profit organisation registered in England and Wales.
I, [2011-09-01T04:13:01.049813 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:13:01.049893 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- If you support the work we do and wish to donate to the PDPC, 
I, [2011-09-01T04:13:01.049968 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- you may do so over at http://freenode.net/pdpc_donations.shtml
I, [2011-09-01T04:13:01.050040 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:13:01.050118 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- Thank you for using freenode!
I, [2011-09-01T04:13:01.050190 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:13:01.050264 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- ***************************************************************
I, [2011-09-01T04:13:01.050342 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- Please read http://blog.freenode.net/2010/11/be-safe-out-there/
I, [2011-09-01T04:13:01.050416 #70040]  INFO -- : :asimov.freenode.net 372 lolfo :- ***************************************************************
I, [2011-09-01T04:13:01.050494 #70040]  INFO -- : :asimov.freenode.net 376 lolfo :End of /MOTD command.
I, [2011-09-01T04:13:01.050578 #70040]  INFO -- : JOIN #cramp
I, [2011-09-01T04:13:01.050644 #70040]  INFO -- : :lolfo MODE lolfo :+i
I, [2011-09-01T04:13:02.159007 #70040]  INFO -- : NICK fuckfo
I, [2011-09-01T04:13:02.159492 #70040]  INFO -- : USER fuckfo 8 * :fuckfo
I, [2011-09-01T04:13:02.293530 #70040]  INFO -- : :asimov.freenode.net NOTICE * :*** Looking up your hostname...
I, [2011-09-01T04:13:02.428974 #70040]  INFO -- : :asimov.freenode.net NOTICE * :*** Checking Ident
I, [2011-09-01T04:13:02.429129 #70040]  INFO -- : :asimov.freenode.net NOTICE * :*** Found your hostname
I, [2011-09-01T04:13:05.192418 #70040]  INFO -- : :lolfo!~lolfo@host86-160-160-200.range86-160.btcentralplus.com JOIN :#cramp
I, [2011-09-01T04:13:05.329332 #70040]  INFO -- : :asimov.freenode.net 353 lolfo = #cramp :lolfo nooby lifo
I, [2011-09-01T04:13:05.329500 #70040]  INFO -- : :asimov.freenode.net 366 lolfo #cramp :End of /NAMES list.
I, [2011-09-01T04:13:15.956483 #70040]  INFO -- : :asimov.freenode.net NOTICE * :*** No Ident response
I, [2011-09-01T04:13:16.090351 #70040]  INFO -- : :asimov.freenode.net 432 * fuckfo :Erroneous Nickname
I, [2011-09-01T04:13:16.213722 #70040]  INFO -- : PRIVMSG #cramp :Hello!
I, [2011-09-01T04:13:16.504808 #70040]  INFO -- : :nooby!~nooby@host86-160-160-200.range86-160.btcentralplus.com PRIVMSG #cramp :lolfo said Hello!
I, [2011-09-01T04:13:36.049637 #70040]  INFO -- : :nooby!~nooby@host86-160-160-200.range86-160.btcentralplus.com QUIT :Remote host closed the connection
I, [2011-09-01T04:13:42.861399 #70040]  INFO -- : QUIT :Goodbye!
I, [2011-09-01T04:13:43.009861 #70040]  INFO -- : ERROR :Closing Link: host86-160-160-200.range86-160.btcentralplus.com (Client Quit)
I, [2011-09-01T04:13:43.010355 #70040]  INFO -- : Connection lost, sleeping 5 seconds
I, [2011-09-01T04:13:48.010512 #70040]  INFO -- : Reconnection to: irc.freenode.net Port: 6667
I, [2011-09-01T04:13:48.177773 #70040]  INFO -- : NICK fuckfo
I, [2011-09-01T04:13:48.177937 #70040]  INFO -- : USER fuckfo 8 * :fuckfo
I, [2011-09-01T04:13:48.209299 #70040]  INFO -- : NICK fufkco
I, [2011-09-01T04:13:48.209431 #70040]  INFO -- : USER fufkco 8 * :fufkco
I, [2011-09-01T04:13:48.312772 #70040]  INFO -- : :asimov.freenode.net NOTICE * :*** Looking up your hostname...
I, [2011-09-01T04:13:48.342656 #70040]  INFO -- : :asimov.freenode.net NOTICE * :*** Looking up your hostname...
I, [2011-09-01T04:13:48.447276 #70040]  INFO -- : :asimov.freenode.net NOTICE * :*** Checking Ident
I, [2011-09-01T04:13:48.447688 #70040]  INFO -- : :asimov.freenode.net NOTICE * :*** Found your hostname
I, [2011-09-01T04:13:48.476864 #70040]  INFO -- : :asimov.freenode.net NOTICE * :*** Checking Ident
I, [2011-09-01T04:13:48.477056 #70040]  INFO -- : :asimov.freenode.net NOTICE * :*** Found your hostname
I, [2011-09-01T04:14:00.711545 #70040]  INFO -- : :asimov.freenode.net NOTICE * :*** No Ident response
I, [2011-09-01T04:14:00.714126 #70040]  INFO -- : :asimov.freenode.net 001 fufkco :Welcome to the freenode Internet Relay Chat Network fufkco
I, [2011-09-01T04:14:00.714298 #70040]  INFO -- : :asimov.freenode.net 002 fufkco :Your host is asimov.freenode.net[174.143.119.91/6667], running version ircd-seven-1.0.3
I, [2011-09-01T04:14:00.714411 #70040]  INFO -- : :asimov.freenode.net 003 fufkco :This server was created Fri Mar 4 2011 at 17:35:00 UTC
